,,price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
,1,42000,5850,3,1,2,yes,no,yes,no,no,1,no
3,2,38500,4000,2,1,1,yes,no,no,no,no,0,no
4,3,49500,3060,3,1,1,yes,no,no,no,no,0,no
5,4,60500,6650,3,1,2,yes,yes,no,no,no,0,no
6,5,61000,6360,2,1,1,yes,no,no,no,no,0,no
7,6,66000,4160,3,1,1,yes,yes,yes,no,yes,0,no
8,7,66000,3880,3,2,2,yes,no,yes,no,no,2,no
9,8,69000,4160,3,1,3,yes,no,no,no,no,0,no
10,9,83800,4800,3,1,1,yes,yes,yes,no,no,0,no
11,10,88500,5500,3,2,4,yes,yes,no,no,yes,1,no
12,11,90000,7200,3,2,1,yes,no,yes,no,yes,3,no
13,12,30500,3000,2,1,1,no,no,no,no,no,0,no
14,13,27000,1700,3,1,2,yes,no,no,no,no,0,no
15,14,36000,2880,3,1,1,no,no,no,no,no,0,no
16,15,37000,3600,2,1,1,yes,no,no,no,no,0,no
17,16,37900,3185,2,1,1,yes,no,no,no,yes,0,no
18,17,40500,3300,3,1,2,no,no,no,no,no,1,no
19,18,40750,5200,4,1,3,yes,no,no,no,no,0,no
20,19,45000,3450,1,1,1,yes,no,no,no,no,0,no
21,20,45000,3986,2,2,1,no,yes,yes,no,no,1,no
22,21,48500,4785,3,1,2,yes,yes,yes,no,yes,1,no
23,22,65900,4510,4,2,2,yes,no,yes,no,no,0,no
24,23,37900,4000,3,1,2,yes,no,no,no,yes,0,no
25,24,38000,3934,2,1,1,yes,no,no,no,no,0,no
26,25,42000,4960,2,1,1,yes,no,no,no,no,0,no
27,26,42300,3000,2,1,2,yes,no,no,no,no,0,no
28,27,43500,3800,2,1,1,yes,no,no,no,no,0,no
29,28,44000,4960,2,1,1,yes,no,yes,no,yes,0,no
30,29,44500,3000,3,1,1,no,no,no,no,yes,0,no
31,30,44900,4500,3,1,2,yes,no,no,no,yes,0,no
32,31,45000,3500,2,1,1,no,no,yes,no,no,0,no
33,32,48000,3500,4,1,2,yes,no,no,no,yes,2,no
34,33,49000,4000,2,1,1,yes,no,no,no,no,0,no
35,34,51500,4500,2,1,1,yes,no,no,no,no,0,no
36,35,61000,6360,2,1,2,yes,no,no,no,no,0,no
37,36,61000,4500,2,1,1,yes,no,no,no,yes,2,no
38,37,61700,4032,2,1,1,yes,no,yes,no,no,0,no
39,38,67000,5170,3,1,4,yes,no,no,no,yes,0,no
40,39,82000,5400,4,2,2,yes,no,no,no,yes,2,no
41,40,54500,3150,2,2,1,no,no,yes,no,no,0,no
42,41,66500,3745,3,1,2,yes,no,yes,no,no,0,no
43,42,70000,4520,3,1,2,yes,no,yes,no,yes,0,no
44,43,82000,4640,4,1,2,yes,no,no,no,no,1,no
45,44,92000,8580,5,3,2,yes,no,no,no,no,2,no
46,45,38000,2000,2,1,2,yes,no,no,no,no,0,no
47,46,44000,2160,3,1,2,no,no,yes,no,no,0,no
48,47,41000,3040,2,1,1,no,no,no,no,no,0,no
49,48,43000,3090,3,1,2,no,no,no,no,no,0,no
50,49,48000,4960,4,1,3,no,no,no,no,no,0,no
51,50,54800,3350,3,1,2,yes,no,no,no,no,0,no
52,51,55000,5300,5,2,2,yes,no,no,no,no,0,no
53,52,57000,4100,4,1,1,no,no,yes,no,no,0,no
54,53,68000,9166,2,1,1,yes,no,yes,no,yes,2,no
55,54,95000,4040,3,1,2,yes,no,yes,yes,no,1,no
56,55,38000,3630,3,3,2,no,yes,no,no,no,0,no
57,56,25000,3620,2,1,1,yes,no,no,no,no,0,no
58,57,25245,2400,3,1,1,no,no,no,no,no,0,no
59,58,56000,7260,3,2,1,yes,yes,yes,no,no,3,no
60,59,35500,4400,3,1,2,yes,no,no,no,no,0,no
61,60,30000,2400,3,1,2,yes,no,no,no,no,0,no
62,61,48000,4120,2,1,2,yes,no,no,no,no,0,no
63,62,48000,4750,2,1,1,yes,no,no,no,no,0,no
64,63,52000,4280,2,1,1,yes,no,no,no,yes,2,no
65,64,54000,4820,3,1,2,yes,no,no,no,no,0,no
66,65,56000,5500,4,1,2,yes,yes,yes,no,no,0,no
67,66,60000,5500,3,1,2,yes,no,no,no,yes,0,no
68,67,60000,5040,3,1,2,yes,no,yes,no,yes,0,no
69,68,67000,6000,2,1,1,yes,no,yes,no,yes,1,no
70,69,47000,2500,2,1,1,no,no,no,no,yes,0,no
71,70,70000,4095,3,1,2,no,yes,yes,no,yes,0,no
72,71,45000,4095,2,1,1,yes,no,no,no,no,2,no
73,72,51000,3150,3,1,2,yes,no,yes,no,no,0,no
74,73,32500,1836,2,1,1,no,no,yes,no,no,0,no
75,74,34000,2475,3,1,2,yes,no,no,no,no,0,no
76,75,35000,3210,3,1,2,yes,no,yes,no,no,0,no
77,76,36000,3180,3,1,1,no,no,no,no,no,0,no
78,77,45000,1650,3,1,2,no,no,yes,no,no,0,no
79,78,47000,3180,4,1,2,yes,no,yes,no,yes,0,no
80,79,55000,3180,2,2,1,yes,no,yes,no,no,2,no
81,80,63900,6360,2,1,1,yes,no,yes,no,yes,1,no
82,81,50000,4240,3,1,2,yes,no,no,no,yes,0,no
83,82,35000,3240,2,1,1,no,yes,no,no,no,1,no
84,83,50000,3650,3,1,2,yes,no,no,no,no,0,no
85,84,43000,3240,3,1,2,yes,no,no,no,no,2,no
86,85,55500,3780,2,1,2,yes,yes,yes,no,no,0,no
87,86,57000,6480,3,1,2,no,no,no,no,yes,1,no
88,87,60000,5850,2,1,1,yes,yes,yes,no,no,2,no
89,88,78000,3150,3,2,1,yes,yes,yes,no,yes,0,no
90,89,35000,3000,2,1,1,yes,no,no,no,no,1,no
91,90,44000,3090,2,1,1,yes,yes,yes,no,no,0,no
92,91,47000,6060,3,1,1,yes,yes,yes,no,no,0,no
93,92,58000,5900,4,2,2,no,no,yes,no,no,1,no
94,93,163000,7420,4,1,2,yes,yes,yes,no,yes,2,no
95,94,128000,8500,3,2,4,yes,no,no,no,yes,2,no
96,95,123500,8050,3,1,1,yes,yes,yes,no,yes,1,no
97,96,39000,6800,2,1,1,yes,no,no,no,no,0,no
98,97,53900,8250,3,1,1,yes,no,no,no,no,2,no
99,98,59900,8250,3,1,1,yes,no,yes,no,no,3,no
100,99,35000,3500,2,1,1,yes,yes,no,no,no,0,no
101,100,43000,2835,2,1,1,yes,no,no,no,no,0,no
102,101,57000,4500,3,2,2,no,no,yes,no,yes,0,no
103,102,79000,3300,3,3,2,yes,no,yes,no,no,0,no
104,103,125000,4320,3,1,2,yes,no,yes,yes,no,2,no
105,104,132000,3500,4,2,2,yes,no,no,yes,no,2,no
106,105,58000,4992,3,2,2,yes,no,no,no,no,2,no
107,106,43000,4600,2,1,1,yes,no,no,no,no,0,no
108,107,48000,3720,2,1,1,no,no,no,no,yes,0,no
109,108,58500,3680,3,2,2,yes,no,no,no,no,0,no
110,109,73000,3000,3,2,2,yes,yes,yes,no,no,0,no
111,110,63500,3750,2,1,1,yes,yes,yes,no,no,0,no
112,111,43000,5076,3,1,1,no,no,no,no,no,0,no
113,112,46500,4500,2,1,1,no,no,no,no,no,0,no
114,113,92000,5000,3,1,2,yes,no,no,no,yes,0,no
115,114,75000,4260,4,1,2,yes,no,yes,no,yes,0,no
116,115,75000,6540,4,2,2,no,no,no,no,yes,0,no
117,116,85000,3700,4,1,2,yes,yes,no,no,yes,0,no
118,117,93000,3760,3,1,2,yes,no,no,yes,no,2,no
119,118,94500,4000,3,2,2,yes,no,yes,no,yes,1,no
120,119,106500,4300,3,2,2,yes,no,yes,no,no,1,no
121,120,116000,6840,5,1,2,yes,yes,yes,no,yes,1,no
122,121,61500,4400,2,1,1,yes,no,no,no,no,1,no
123,122,80000,10500,4,2,2,yes,no,no,no,no,1,no
124,123,37000,4400,2,1,1,yes,no,no,no,no,0,no
125,124,59500,4840,3,1,2,yes,no,no,no,no,1,no
126,125,70000,4120,2,1,1,yes,no,yes,no,no,1,no
127,126,95000,4260,4,2,2,yes,no,no,yes,no,0,no
128,127,117000,5960,3,3,2,yes,yes,yes,no,no,1,no
129,128,122500,8800,3,2,2,yes,no,no,no,yes,2,no
130,129,123500,4560,3,2,2,yes,yes,yes,no,yes,1,no
131,130,127000,4600,3,2,2,yes,yes,no,no,yes,2,no
132,131,35000,4840,2,1,2,yes,no,no,no,no,0,no
133,132,44500,3850,3,1,2,yes,no,no,no,no,0,no
134,133,49900,4900,3,1,2,no,no,no,no,no,0,no
135,134,50500,3850,3,1,1,yes,no,no,no,no,2,no
136,135,65000,3760,3,1,1,yes,no,no,no,no,2,no
137,136,90000,6000,4,2,4,yes,no,no,no,no,1,no
138,137,46000,4370,3,1,2,yes,no,no,no,no,0,no
139,138,35000,7700,2,1,1,yes,no,no,no,no,0,no
140,139,26500,2990,2,1,1,no,no,no,no,no,1,no
141,140,43000,3750,3,1,2,yes,no,no,no,no,0,no
142,141,56000,3000,3,1,2,yes,no,no,no,no,0,no
143,142,40000,2650,3,1,2,yes,no,yes,no,no,1,no
144,143,51000,4500,4,2,2,yes,no,yes,no,no,2,no
